data,cidade,confirmado,suspeitos,obitos
2020-04-11, Sem informação , 20 , 48 , 0 
2020-04-11, CAMOCIM , 0 , 14 , 0 
2020-04-11, IPAUMIRIM , 0 , 1 , 0 
2020-04-11, ABAIARA , 0 , 2 , 0 
2020-04-11, ITAICABA , 1 , 2 , 0 
2020-04-11, MULUNGU , 0 , 16 , 0 
2020-04-11, CAUCAIA , 26 , 251 , 1 
2020-04-11, CARIDADE , 0 , 8 , 0 
2020-04-11, SALITRE , 0 , 1 , 0 
2020-04-11, SAO LUÍS DO CURU , 1 , 6 , 0 
2020-04-11, MORADA NOVA , 0 , 16 , 0 
2020-04-11, CARNAUBAL , 0 , 4 , 0 
2020-04-11, CEDRO , 0 , 7 , 0 
2020-04-11, ITAREMA , 1 , 13 , 0 
2020-04-11, QUIXADA , 7 , 37 , 0 
2020-04-11, ITAPAJE , 1 , 2 , 0 
2020-04-11, ANTONINA DO NORTE , 0 , 1 , 0 
2020-04-11, ITAITINGA , 3 , 40 , 1 
2020-04-11, CRUZ , 0 , 10 , 0 
2020-04-11, TARRAFAS , 0 , 3 , 0 
2020-04-11, SANTA QUITERIA , 2 , 17 , 1 
2020-04-11, ACARAPE , 0 , 6 , 0 
2020-04-11, ALTANEIRA , 0 , 2 , 0 
2020-04-11, GUARACIABA DO NORTE , 1 , 7 , 0 
2020-04-11, CANINDE , 1 , 89 , 0 
2020-04-11, COREAU , 0 , 15 , 0 
2020-04-11, MARCO , 0 , 7 , 0 
2020-04-11, CAPISTRANO , 0 , 3 , 0 
2020-04-11, ERERE , 0 , 2 , 0 
2020-04-11, POTENGI , 0 , 2 , 0 
2020-04-11, FARIAS BRITO , 1 , 4 , 1 
2020-04-11, TEJUCUOCA , 0 , 4 , 0 
2020-04-11, MARANGUAPE , 3 , 72 , 0 
2020-04-11, MILHA , 0 , 1 , 0 
2020-04-11, JAGUARIBE , 4 , 22 , 1 
2020-04-11, CARIUS , 2 , 7 , 1 
2020-04-11, RUSSAS , 2 , 45 , 0 
2020-04-11, PEDRA BRANCA , 1 , 3 , 0 
2020-04-11, SABOEIRO , 0 , 2 , 0 
2020-04-11, CRATEUS , 1 , 58 , 0 
2020-04-11, MIRAIMA , 0 , 1 , 0 
2020-04-11, ACARAU , 0 , 34 , 0 
2020-04-11, PALMACIA , 0 , 1 , 0 
2020-04-11, TIANGUA , 3 , 21 , 1 
2020-04-11, IRAUCUBA , 0 , 11 , 0 
2020-04-11, URUOCA , 0 , 15 , 0 
2020-04-11, JUAZEIRO DO NORTE , 3 , 74 , 0 
2020-04-11, BARRO , 0 , 4 , 0 
2020-04-11, PIQUET CARNEIRO , 0 , 4 , 0 
2020-04-11, TABULEIRO DO NORTE , 1 , 7 , 0 
2020-04-11, UMARI , 0 , 1 , 0 
2020-04-11, GROAIRAS , 0 , 4 , 0 
2020-04-11, CHAVAL , 0 , 1 , 0 
2020-04-11, PIRES FERREIRA , 0 , 3 , 0 
2020-04-11, QUIXERAMOBIM , 4 , 19 , 0 
2020-04-11, MORRINHOS , 0 , 5 , 0 
2020-04-11, GRANJEIRO , 0 , 2 , 0 
2020-04-11, SENADOR POMPEU , 2 , 6 , 0 
2020-04-11, IBICUITINGA , 0 , 3 , 0 
2020-04-11, ICAPUI , 1 , 17 , 0 
2020-04-11, TAMBORIL , 0 , 8 , 0 
