data,cidade,confirmado,suspeitos,obitos
2020-04-03, Sem informação , 2 , 49 , 0 
2020-04-03, CAMOCIM , 0 , 14 , 0 
2020-04-03, ABAIARA , 0 , 1 , 0 
2020-04-03, ITAICABA , 0 , 2 , 0 
2020-04-03, MULUNGU , 0 , 14 , 0 
2020-04-03, CAUCAIA , 7 , 163 , 0 
2020-04-03, CARIDADE , 0 , 6 , 0 
2020-04-03, SALITRE , 0 , 1 , 0 
2020-04-03, SAO LUÍS DO CURU , 0 , 6 , 0 
2020-04-03, MORADA NOVA , 0 , 14 , 0 
2020-04-03, CARNAUBAL , 0 , 2 , 0 
2020-04-03, CEDRO , 0 , 4 , 0 
2020-04-03, ITAREMA , 0 , 10 , 0 
2020-04-03, QUIXADA , 2 , 21 , 0 
2020-04-03, ITAPAJE , 1 , 1 , 0 
2020-04-03, ANTONINA DO NORTE , 0 , 1 , 0 
2020-04-03, ITAITINGA , 1 , 23 , 0 
2020-04-03, CRUZ , 0 , 9 , 0 
2020-04-03, TARRAFAS , 0 , 2 , 0 
2020-04-03, SANTA QUITERIA , 1 , 16 , 1 
2020-04-03, ACARAPE , 0 , 4 , 0 
2020-04-03, ALTANEIRA , 0 , 2 , 0 
2020-04-03, GUARACIABA DO NORTE , 0 , 6 , 0 
2020-04-03, CANINDE , 1 , 70 , 0 
2020-04-03, COREAU , 0 , 8 , 0 
2020-04-03, MARCO , 0 , 6 , 0 
2020-04-03, CAPISTRANO , 0 , 3 , 0 
2020-04-03, ERERE , 0 , 1 , 0 
2020-04-03, POTENGI , 0 , 2 , 0 
2020-04-03, FARIAS BRITO , 1 , 4 , 1 
2020-04-03, TEJUCUOCA , 0 , 4 , 0 
2020-04-03, MARANGUAPE , 1 , 53 , 0 
2020-04-03, MILHA , 0 , 1 , 0 
2020-04-03, JAGUARIBE , 1 , 13 , 1 
2020-04-03, CARIUS , 1 , 4 , 0 
2020-04-03, RUSSAS , 0 , 30 , 0 
2020-04-03, PEDRA BRANCA , 0 , 3 , 0 
2020-04-03, SABOEIRO , 0 , 1 , 0 
2020-04-03, CRATEUS , 0 , 36 , 0 
2020-04-03, MIRAIMA , 0 , 1 , 0 
2020-04-03, ACARAU , 0 , 26 , 0 
2020-04-03, PALMACIA , 0 , 1 , 0 
2020-04-03, TIANGUA , 1 , 17 , 1 
2020-04-03, IRAUCUBA , 0 , 7 , 0 
2020-04-03, URUOCA , 0 , 15 , 0 
2020-04-03, JUAZEIRO DO NORTE , 1 , 54 , 0 
2020-04-03, BARRO , 0 , 4 , 0 
2020-04-03, PIQUET CARNEIRO , 0 , 1 , 0 
2020-04-03, TABULEIRO DO NORTE , 0 , 7 , 0 
2020-04-03, UMARI , 0 , 1 , 0 
2020-04-03, GROAIRAS , 0 , 3 , 0 
2020-04-03, CHAVAL , 0 , 1 , 0 
2020-04-03, PIRES FERREIRA , 0 , 4 , 0 
2020-04-03, QUIXERAMOBIM , 0 , 8 , 0 
2020-04-03, MORRINHOS , 0 , 5 , 0 
2020-04-03, SENADOR POMPEU , 0 , 6 , 0 
2020-04-03, IBICUITINGA , 0 , 2 , 0 
2020-04-03, ICAPUI , 0 , 11 , 0 
2020-04-03, TAMBORIL , 0 , 4 , 0 
2020-04-03, MISSAO VELHA , 0 , 4 , 0 
2020-04-03, MOMBACA , 0 , 5 , 0 
2020-04-03, MUCAMBO , 0 , 32 , 0 
2020-04-03, PARAMBU , 0 , 3 , 0 
2020-04-03, ACOPIARA , 0 , 11 , 0 
2020-04-03, CARIRIACU , 0 , 6 , 0 
2020-04-03, ARATUBA , 0 , 2 , 0 
2020-04-03, TRAIRI , 0 , 6 , 0 
2020-04-03, MARACANAU , 14 , 87 , 1 
2020-04-03, VARJOTA , 0 , 3 , 0 
2020-04-03, LAVRAS DA MANGABEIRA , 0 , 5 , 0 
2020-04-03, AMONTADA , 0 , 14 , 0 
2020-04-03, CASCAVEL , 0 , 26 , 0 
2020-04-03, PINDORETAMA , 0 , 28 , 0 
2020-04-03, GRANJA , 0 , 8 , 0 
2020-04-03, SENADOR SA , 0 , 1 , 0 
2020-04-03, IPUEIRAS , 0 , 7 , 0 
2020-04-03, JAGUARIBARA , 0 , 4 , 0 
2020-04-03, BOA VIAGEM , 0 , 9 , 0 
2020-04-03, PACUJA , 0 , 4 , 0 
2020-04-03, ARARENDA , 0 , 2 , 0 
2020-04-03, PACATUBA , 1 , 24 , 0 
2020-04-03, JAGUARETAMA , 0 , 5 , 0 
2020-04-03, MILAGRES , 0 , 3 , 0 
2020-04-03, CROATA , 0 , 1 , 0 
2020-04-03, PENAFORTE , 0 , 2 , 0 
2020-04-03, MASSAPE , 0 , 32 , 0 
2020-04-03, QUITERIANOPOLIS , 0 , 6 , 0 
2020-04-03, ITAPIUNA , 0 , 2 , 0 
2020-04-03, FRECHEIRINHA , 0 , 5 , 0 
2020-04-03, VARZEA ALEGRE , 0 , 3 , 0 
2020-04-03, IPU , 0 , 4 , 0 
2020-04-03, JIJOCA DE JERICOACOARA , 0 , 6 , 0 
2020-04-03, ARARIPE , 0 , 1 , 0 
2020-04-03, APUIARES , 0 , 3 , 0 
2020-04-03, ARNEIROZ , 0 , 1 , 0 
2020-04-03, BELA CRUZ , 0 , 4 , 0 
2020-04-03, EUSEBIO , 0 , 64 , 1 
2020-04-03, JARDIM , 0 , 3 , 0 
2020-04-03, AQUIRAZ , 19 , 54 , 0 
