data,cidade,confirmado,suspeitos,obitos
2020-04-07, FORTALEZA , 1133 , 5211 , 44 
2020-04-07, AQUIRAZ , 28 , 68 , 0 
2020-04-07, MARACANAU , 17 , 109 , 1 
2020-04-07, CAUCAIA , 16 , 194 , 1 
2020-04-07, Sem informação , 14 , 49 , 0 
2020-04-07, SOBRAL , 14 , 370 , 0 
2020-04-07, HORIZONTE , 6 , 46 , 1 
2020-04-07, QUIXADA , 4 , 29 , 0 
2020-04-07, JAGUARIBE , 3 , 18 , 1 
2020-04-07, JUAZEIRO DO NORTE , 3 , 70 , 0 
2020-04-07, EUSEBIO , 3 , 90 , 2 
2020-04-07, ICO , 3 , 16 , 0 
2020-04-07, ITAITINGA , 2 , 33 , 1 
2020-04-07, SANTA QUITERIA , 2 , 16 , 1 
2020-04-07, MARANGUAPE , 2 , 66 , 0 
2020-04-07, CARIUS , 2 , 6 , 1 
2020-04-07, PACATUBA , 2 , 30 , 0 
2020-04-07, NOVO ORIENTE , 2 , 4 , 0 
2020-04-07, IGUATU , 2 , 29 , 1 
2020-04-07, ARACATI , 2 , 42 , 1 
2020-04-07, ITAPAJE , 1 , 1 , 0 
2020-04-07, GUARACIABA DO NORTE , 1 , 9 , 0 
2020-04-07, CANINDE , 1 , 87 , 0 
2020-04-07, FARIAS BRITO , 1 , 4 , 1 
2020-04-07, PEDRA BRANCA , 1 , 3 , 0 
2020-04-07, CRATEUS , 1 , 48 , 0 
2020-04-07, TIANGUA , 1 , 18 , 1 
2020-04-07, QUIXERAMOBIM , 1 , 14 , 0 
2020-04-07, SENADOR POMPEU , 1 , 6 , 0 
2020-04-07, LAVRAS DA MANGABEIRA , 1 , 6 , 0 
2020-04-07, AMONTADA , 1 , 14 , 0 
2020-04-07, CASCAVEL , 1 , 31 , 0 
2020-04-07, PINDORETAMA , 1 , 32 , 0 
2020-04-07, IPUEIRAS , 1 , 10 , 0 
2020-04-07, CROATA , 1 , 1 , 0 
2020-04-07, MAURITI , 1 , 5 , 0 
2020-04-07, BEBERIBE , 1 , 25 , 0 
2020-04-07, ITAPIPOCA , 1 , 46 , 0 
2020-04-07, LIMOEIRO DO NORTE , 1 , 17 , 0 
2020-04-07, FORTIM , 1 , 3 , 0 
2020-04-07, SANTANA DO ACARAU , 1 , 27 , 0 
2020-04-07, CATARINA , 1 , 3 , 0 
2020-04-07, IPAPORANGA , 1 , 5 , 0 
2020-04-07, CAMOCIM , 0 , 14 , 0 
