id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
1200054,ASSIS BRASIL,12,AC,ACRE,-10.9409203,-69.5672108,"-10.9409203,-69.5672108",7417
1200104,BRASILEIA,12,AC,ACRE,-11.0010413,-68.7487894,"-11.0010413,-68.7487894",26278
1200138,BUJARI,12,AC,ACRE,-9.8309656,-67.9520886,"-9.8309656,-67.9520886",10266
1200179,CAPIXABA,12,AC,ACRE,-10.5741345,-67.6759719,"-10.5741345,-67.6759719",11733
1200203,CRUZEIRO DO SUL,12,AC,ACRE,-7.6307956,-72.6703869,"-7.6307956,-72.6703869",88376
1200252,EPITACIOLANDIA,12,AC,ACRE,-11.0289439,-68.7411519,"-11.0289439,-68.7411519",18411
1200302,FEIJO,12,AC,ACRE,-8.1648652,-70.3539579,"-8.1648652,-70.3539579",34780
1200328,JORDAO,12,AC,ACRE,-9.1911406,-71.9481397,"-9.1911406,-71.9481397",8317
1200336,MANCIO LIMA,12,AC,ACRE,-7.6145911,-72.9052640,"-7.6145911,-72.905264",18977
1200344,MANOEL URBANO,12,AC,ACRE,-8.8388610,-69.2620618,"-8.838861,-69.2620618",9459
1200351,MARECHAL THAUMATURGO,12,AC,ACRE,-8.9479792,-72.7872614,"-8.9479792,-72.7872614",18867
1200385,PLACIDO DE CASTRO,12,AC,ACRE,-10.3239154,-67.1824196,"-10.3239154,-67.1824196",19761
1200393,PORTO WALTER,12,AC,ACRE,-8.2687722,-72.7444458,"-8.2687722,-72.7444458",11982
1200401,RIO BRANCO,12,AC,ACRE,-9.9765362,-67.8220778,"-9.9765362,-67.8220778",407319
1200427,RODRIGUES ALVES,12,AC,ACRE,-7.7380283,-72.6509379,"-7.7380283,-72.6509379",18930
1200435,SANTA ROSA DO PURUS,12,AC,ACRE,-9.4354872,-70.4926109,"-9.4354872,-70.4926109",6540
1200450,SENADOR GUIOMARD,12,AC,ACRE,-10.1509190,-67.7359500,"-10.150919,-67.73595",23024
1200500,SENA MADUREIRA,12,AC,ACRE,-9.0659556,-68.6571058,"-9.0659556,-68.6571058",45848
1200609,TARAUACA,12,AC,ACRE,-8.1602019,-70.7665368,"-8.1602019,-70.7665368",42567
1200708,XAPURI,12,AC,ACRE,-10.6511174,-68.5017902,"-10.6511174,-68.5017902",19323
