data,cidade,confirmado,suspeitos,obitos
2020-04-14, ABAIARA , 0 , 2 , 0 
2020-04-14, ACARAPE , 0 , 4 , 0 
2020-04-14, ACARAU , 0 , 28 , 0 
2020-04-14, ACOPIARA , 1 , 13 , 0 
2020-04-14, AIUABA , 0 , 1 , 0 
2020-04-14, ALCANTARAS , 0 , 11 , 0 
2020-04-14, ALTANEIRA , 0 , 2 , 0 
2020-04-14, ALTO SANTO , 0 , 6 , 0 
2020-04-14, AMONTADA , 1 , 13 , 0 
2020-04-14, APUIARES , 0 , 1 , 0 
2020-04-14, AQUIRAZ , 30 , 67 , 0 
2020-04-14, ARACATI , 3 , 63 , 1 
2020-04-14, ARACOIABA , 0 , 21 , 0 
2020-04-14, ARARENDA , 0 , 8 , 0 
2020-04-14, ARARIPE , 0 , 4 , 0 
2020-04-14, ARATUBA , 0 , 1 , 0 
2020-04-14, ARNEIROZ , 0 , 5 , 0 
2020-04-14, AURORA , 0 , 6 , 0 
2020-04-14, BAIXIO , 0 , 2 , 0 
2020-04-14, BANABUIU , 0 , 3 , 0 
2020-04-14, BARBALHA , 0 , 37 , 0 
2020-04-14, BARREIRA , 1 , 4 , 0 
2020-04-14, BARRO , 0 , 5 , 0 
2020-04-14, BARROQUINHA , 1 , 11 , 0 
2020-04-14, BATURITÉ , 0 , 17 , 0 
2020-04-14, BEBERIBE , 2 , 19 , 0 
2020-04-14, BELA CRUZ , 0 , 6 , 0 
2020-04-14, BOA VIAGEM , 0 , 16 , 0 
2020-04-14, BREJO SANTO , 0 , 7 , 0 
2020-04-14, CAMOCIM , 0 , 11 , 0 
2020-04-14, CAMPOS SALES , 0 , 5 , 0 
2020-04-14, CANINDE , 1 , 79 , 0 
2020-04-14, CAPISTRANO , 0 , 3 , 0 
2020-04-14, CARIDADE , 0 , 9 , 0 
2020-04-14, CARIRE , 0 , 9 , 0 
2020-04-14, CARIRIACU , 0 , 7 , 0 
2020-04-14, CARIUS , 2 , 9 , 1 
2020-04-14, CARNAUBAL , 0 , 3 , 0 
2020-04-14, CASCAVEL , 1 , 36 , 0 
2020-04-14, CATARINA , 1 , 4 , 0 
2020-04-14, CAUCAIA , 38 , 299 , 1 
2020-04-14, CEDRO , 0 , 3 , 0 
2020-04-14, CHAVAL , 0 , 1 , 0 
2020-04-14, CHOROZINHO , 0 , 8 , 0 
2020-04-14, COREAU , 0 , 17 , 0 
2020-04-14, CRATEUS , 1 , 54 , 0 
2020-04-14, CRATO , 2 , 45 , 0 
2020-04-14, CROATA , 1 , 3 , 0 
2020-04-14, CRUZ , 0 , 12 , 0 
2020-04-14, DEPUTADO IRAPUAN PINHEIRO , 0 , 1 , 0 
2020-04-14, ERERE , 0 , 1 , 0 
2020-04-14, EUSEBIO , 7 , 79 , 2 
2020-04-14, FARIAS BRITO , 1 , 5 , 1 
2020-04-14, FORQUILHA , 0 , 14 , 0 
2020-04-14, FORTALEZA , 1713 , 6478 , 82 
2020-04-14, FORTIM , 1 , 3 , 0 
2020-04-14, FRECHEIRINHA , 0 , 6 , 0 
2020-04-14, GRACA , 1 , 1 , 0 
2020-04-14, GRANJA , 0 , 13 , 0 
2020-04-14, GRANJEIRO , 0 , 3 , 0 
2020-04-14, GROAIRAS , 0 , 4 , 0 
2020-04-14, GUAIÚBA , 0 , 4 , 0 
2020-04-14, GUARACIABA DO NORTE , 1 , 7 , 0 
2020-04-14, GUARAMIRANGA , 0 , 3 , 0 
2020-04-14, HIDROLANDIA , 0 , 6 , 0 
2020-04-14, HORIZONTE , 7 , 72 , 1 
2020-04-14, IBARETAMA , 0 , 8 , 0 
2020-04-14, IBIAPINA , 0 , 6 , 0 
2020-04-14, IBICUITINGA , 0 , 3 , 0 
2020-04-14, ICAPUI , 2 , 15 , 0 
2020-04-14, ICO , 3 , 13 , 0 
2020-04-14, IGUATU , 7 , 31 , 3 
2020-04-14, INDEPENDENCIA , 2 , 4 , 0 
2020-04-14, IPAPORANGA , 1 , 6 , 0 
2020-04-14, IPAUMIRIM , 0 , 4 , 0 
2020-04-14, IPU , 0 , 5 , 0 
2020-04-14, IPUEIRAS , 2 , 7 , 0 
2020-04-14, IRACEMA , 0 , 2 , 0 
2020-04-14, IRAUCUBA , 0 , 12 , 0 
2020-04-14, ITAICABA , 1 , 1 , 0 
2020-04-14, ITAITINGA , 5 , 63 , 1 
2020-04-14, ITAPAJE , 1 , 3 , 0 
2020-04-14, ITAPIPOCA , 2 , 31 , 0 
2020-04-14, ITAPIUNA , 0 , 4 , 0 
2020-04-14, ITAREMA , 1 , 13 , 0 
2020-04-14, ITATIRA , 0 , 7 , 0 
2020-04-14, JAGUARETAMA , 0 , 3 , 0 
2020-04-14, JAGUARIBARA , 0 , 7 , 0 
2020-04-14, JAGUARIBE , 5 , 15 , 2 
2020-04-14, JAGUARUANA , 0 , 15 , 0 
2020-04-14, JARDIM , 0 , 3 , 0 
2020-04-14, JIJOCA DE JERICOACOARA , 0 , 10 , 0 
2020-04-14, JUAZEIRO DO NORTE , 3 , 59 , 0 
2020-04-14, JUCAS , 0 , 6 , 0 
2020-04-14, LAVRAS DA MANGABEIRA , 1 , 9 , 0 
2020-04-14, LIMOEIRO DO NORTE , 4 , 26 , 2 
2020-04-14, MADALENA , 0 , 10 , 0 
2020-04-14, MARACANAU , 28 , 168 , 1 
2020-04-14, MARANGUAPE , 4 , 72 , 2 
2020-04-14, MARCO , 0 , 7 , 0 
2020-04-14, MARTINOPOLE , 0 , 4 , 0 
2020-04-14, MASSAPE , 0 , 28 , 0 
2020-04-14, MAURITI , 1 , 9 , 0 
2020-04-14, MERUOCA , 0 , 5 , 0 
2020-04-14, MILAGRES , 0 , 6 , 0 
2020-04-14, MIRAIMA , 0 , 2 , 0 
2020-04-14, MISSAO VELHA , 0 , 2 , 0 
2020-04-14, MOMBACA , 3 , 7 , 0 
2020-04-14, MONSENHOR TABOSA , 0 , 2 , 0 
2020-04-14, MORADA NOVA , 0 , 6 , 0 
2020-04-14, MORAUJO , 0 , 10 , 0 
2020-04-14, MORRINHOS , 0 , 1 , 0 
2020-04-14, MUCAMBO , 0 , 8 , 0 
2020-04-14, MULUNGU , 0 , 12 , 0 
2020-04-14, NOVA OLINDA , 0 , 5 , 0 
2020-04-14, NOVA RUSSAS , 0 , 4 , 0 
2020-04-14, NOVO ORIENTE , 2 , 4 , 0 
2020-04-14, OCARA , 0 , 9 , 0 
2020-04-14, PACAJUS , 1 , 42 , 0 
2020-04-14, PACATUBA , 3 , 44 , 0 
2020-04-14, PACOTI , 0 , 7 , 0 
2020-04-14, PACUJA , 0 , 5 , 0 
2020-04-14, PALMACIA , 0 , 1 , 0 
2020-04-14, PARACURU , 1 , 4 , 0 
2020-04-14, PARAIPABA , 0 , 3 , 0 
2020-04-14, PARAMBU , 0 , 12 , 0 
2020-04-14, PARAMOTI , 0 , 8 , 0 
2020-04-14, PEDRA BRANCA , 0 , 6 , 0 
2020-04-14, PENAFORTE , 0 , 1 , 0 
2020-04-14, PENTECOSTE , 0 , 12 , 0 
2020-04-14, PEREIRO , 0 , 7 , 0 
2020-04-14, PINDORETAMA , 0 , 27 , 0 
2020-04-14, PIQUET CARNEIRO , 0 , 5 , 0 
2020-04-14, PORANGA , 0 , 6 , 0 
2020-04-14, PORTEIRAS , 0 , 1 , 0 
2020-04-14, POTENGI , 0 , 5 , 0 
