data,cidade,confirmado,suspeitos,obitos
2020-04-05, FORTALEZA , 914 , 4420 , 36 
2020-04-05, AQUIRAZ , 19 , 54 , 0 
2020-04-05, MARACANAU , 14 , 93 , 1 
2020-04-05, CAUCAIA , 10 , 173 , 0 
2020-04-05, SOBRAL , 7 , 346 , 0 
2020-04-05, HORIZONTE , 6 , 36 , 0 
2020-04-05, Sem informação , 5 , 49 , 0 
2020-04-05, QUIXADA , 4 , 25 , 0 
2020-04-05, JUAZEIRO DO NORTE , 3 , 64 , 0 
2020-04-05, JAGUARIBE , 2 , 15 , 1 
2020-04-05, NOVO ORIENTE , 2 , 1 , 0 
2020-04-05, ICO , 2 , 14 , 0 
2020-04-05, IGUATU , 2 , 23 , 1 
2020-04-05, ITAPAJE , 1 , 1 , 0 
2020-04-05, ITAITINGA , 1 , 23 , 0 
2020-04-05, SANTA QUITERIA , 1 , 16 , 1 
2020-04-05, CANINDE , 1 , 75 , 0 
2020-04-05, FARIAS BRITO , 1 , 4 , 1 
2020-04-05, MARANGUAPE , 1 , 57 , 0 
2020-04-05, CARIUS , 1 , 5 , 1 
2020-04-05, PEDRA BRANCA , 1 , 3 , 0 
2020-04-05, TIANGUA , 1 , 17 , 1 
2020-04-05, QUIXERAMOBIM , 1 , 10 , 0 
2020-04-05, PINDORETAMA , 1 , 28 , 0 
2020-04-05, IPUEIRAS , 1 , 8 , 0 
2020-04-05, PACATUBA , 1 , 26 , 0 
2020-04-05, EUSEBIO , 1 , 71 , 1 
2020-04-05, MAURITI , 1 , 5 , 0 
2020-04-05, BEBERIBE , 1 , 24 , 0 
2020-04-05, ITAPIPOCA , 1 , 43 , 0 
2020-04-05, LIMOEIRO DO NORTE , 1 , 14 , 0 
2020-04-05, FORTIM , 1 , 3 , 0 
2020-04-05, IPAPORANGA , 1 , 3 , 0 
2020-04-05, CAMOCIM , 0 , 14 , 0 
2020-04-05, ABAIARA , 0 , 1 , 0 
2020-04-05, ITAICABA , 0 , 2 , 0 
2020-04-05, MULUNGU , 0 , 14 , 0 
2020-04-05, CARIDADE , 0 , 6 , 0 
2020-04-05, SALITRE , 0 , 1 , 0 
2020-04-05, SAO LUÍS DO CURU , 0 , 6 , 0 
2020-04-05, MORADA NOVA , 0 , 14 , 0 
2020-04-05, CARNAUBAL , 0 , 2 , 0 
2020-04-05, CEDRO , 0 , 4 , 0 
2020-04-05, ITAREMA , 0 , 10 , 0 
2020-04-05, ANTONINA DO NORTE , 0 , 1 , 0 
